              start,                   end,  length,   inter,    swel,    hsig,     tps,  a_hsig,   a_tps
2013-02-11 21:00:00,   2013-02-12 02:00:00,       5,     146,    0.33,    3.40,    9.09,    3.25,    9.09
2013-02-18 04:00:00,   2013-02-18 07:00:00,       3,     217,   -0.54,    3.32,    7.69,    3.18,    7.32
2013-02-27 08:00:00,   2013-02-28 04:00:00,      20,     156,    0.53,    5.62,    9.09,    4.25,    9.36
2013-03-06 16:00:00,   2013-03-09 16:00:00,      72,     229,    0.61,    5.91,   10.81,    4.04,   11.10
2013-03-19 05:00:00,   2013-03-19 18:00:00,      13,     570,    0.25,    4.03,   10.00,    3.53,    8.65
2013-04-12 12:00:00,   2013-04-12 22:00:00,      10,    1355,    0.31,    4.32,    7.69,    3.59,    7.87
2013-06-08 09:00:00,   2013-06-08 15:00:00,       6,    3032,   -0.05,    3.65,   10.00,    3.50,   10.22
2013-10-12 23:00:00,   2013-10-13 03:00:00,       4,     335,    0.34,    3.05,    7.69,    3.03,    7.71
2013-10-27 02:00:00,   2013-10-27 06:00:00,       4,     127,   -0.03,    3.68,    8.33,    3.37,    8.01
2013-11-01 13:00:00,   2013-11-01 20:00:00,       7,     612,    0.07,    4.17,    8.33,    3.49,    8.18
2013-11-27 08:00:00,   2013-11-28 14:00:00,      30,     265,    0.16,    5.29,   10.00,    4.04,   11.28
2013-12-09 15:00:00,   2013-12-09 18:00:00,       3,     128,    0.27,    3.23,    7.69,    3.12,    7.90
2013-12-15 02:00:00,   2013-12-15 21:00:00,      19,     158,    0.27,    5.35,    9.09,    3.78,    9.34
2013-12-22 11:00:00,   2013-12-22 14:00:00,       3,     185,    0.15,    3.39,    7.69,    3.21,    7.51
2013-12-30 07:00:00,   2013-12-30 10:00:00,       3,      77,    0.21,    3.29,   10.00,    3.17,   10.27
2014-01-02 15:00:00,   2014-01-03 17:00:00,      26,      84,    0.52,    4.87,    9.09,    3.93,    8.89
2014-01-07 05:00:00,   2014-01-07 18:00:00,      13,     100,   -0.33,    3.92,    8.33,    3.42,    8.09
2014-01-11 22:00:00,   2014-01-12 17:00:00,      19,     233,   -0.07,    4.39,   10.81,    3.65,   10.64
2014-01-22 10:00:00,   2014-01-22 13:00:00,       3,      69,    0.49,    3.11,    6.67,    3.09,    7.56
2014-01-25 10:00:00,   2014-01-26 12:00:00,      26,     433,   -0.11,    5.27,    9.09,    4.03,    9.51
2014-02-13 13:00:00,   2014-02-15 00:00:00,      35,     946,    0.26,    5.61,    9.09,    4.52,   10.17
2014-03-26 10:00:00,   2014-03-26 14:00:00,       4,      96,   -0.24,    3.14,    7.14,    3.08,    7.28
2014-03-30 14:00:00,   2014-03-31 07:00:00,      17,     373,    0.15,    3.68,   10.81,    3.28,   10.81
2014-04-15 20:00:00,   2014-04-16 00:00:00,       4,    1919,    0.39,    3.24,    9.09,    3.20,    9.09
2014-07-04 23:00:00,   2014-07-05 02:00:00,       3,     945,    0.14,    3.27,   16.00,    3.17,   14.53
2014-08-13 11:00:00,   2014-08-13 20:00:00,       9,    1680,    0.22,    4.27,    8.33,    3.74,    8.54
2014-10-22 20:00:00,   2014-10-23 01:00:00,       5,     236,    0.57,    3.99,    7.69,    3.51,    7.47
2014-11-01 21:00:00,   2014-11-02 16:00:00,      19,     365,    0.42,    4.02,    9.09,    3.56,    8.10
2014-11-17 21:00:00,   2014-11-18 05:00:00,       8,     156,    0.05,    3.13,   10.00,    3.08,    9.74
2014-11-24 17:00:00,   2014-11-25 10:00:00,      17,      34,    0.12,    4.29,   10.81,    3.77,   10.45
2014-11-26 20:00:00,   2014-11-27 06:00:00,      10,     138,    0.39,    4.65,    7.69,    3.76,    8.04
2014-12-03 00:00:00,   2014-12-03 05:00:00,       5,     117,    0.35,    3.25,    7.69,    3.18,    7.82
2014-12-08 02:00:00,   2014-12-10 03:00:00,      49,     620,    0.33,    5.02,   10.00,    3.79,    9.08
2015-01-04 23:00:00,   2015-01-05 06:00:00,       7,      99,   -0.16,    3.63,    8.33,    3.33,    8.98
2015-01-09 09:00:00,   2015-01-09 21:00:00,      12,     215,   -0.45,    6.01,   10.00,    4.57,    9.62
2015-01-18 20:00:00,   2015-01-19 03:00:00,       7,     138,    0.04,    3.97,    9.09,    3.40,    8.66
2015-01-24 21:00:00,   2015-01-25 17:00:00,      20,      26,    0.04,    3.54,   12.12,    3.19,   10.31
2015-01-26 19:00:00,   2015-01-27 18:00:00,      23,     150,    0.54,    5.49,   11.43,    4.35,    9.66
2015-02-03 00:00:00,   2015-02-03 06:00:00,       6,     153,   -0.26,    3.24,   13.79,    3.11,   12.30
2015-02-09 15:00:00,   2015-02-09 23:00:00,       8,      31,    0.20,    3.58,    7.69,    3.37,    7.48
2015-02-11 06:00:00,   2015-02-11 17:00:00,      11,      94,    0.29,    3.67,   10.00,    3.41,    9.54
2015-02-15 15:00:00,   2015-02-16 06:00:00,      15,    5466,   -0.05,    3.33,    6.67,    3.17,    6.77
2015-10-02 00:00:00,   2015-10-05 01:00:00,      73,      29,    0.40,    4.74,    8.33,    3.77,    8.18
2015-10-06 06:00:00,   2015-10-06 11:00:00,       5,     533,    0.13,    3.50,   12.90,    3.23,   12.61
2015-10-28 16:00:00,   2015-10-29 21:00:00,      29,     294,    0.23,    4.53,    8.33,    3.53,    9.52
2015-11-11 03:00:00,   2015-11-11 13:00:00,      10,    1037,    0.45,    3.51,    9.09,    3.35,    7.49
2015-12-24 18:00:00,   2015-12-24 22:00:00,       4,     108,    0.14,    3.23,    8.33,    3.15,    8.71
2015-12-29 10:00:00,   2015-12-29 19:00:00,       9,     475,    0.53,    3.74,    8.33,    3.44,    8.00
